Id,Label,soc_major,soc_group,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Degree
21-2011.00,Clergy,21,Community & Social Service,0,9,0.294156,0.34442,0.001485,9
21-2021.00,"Directors, Religious Activities and Education",21,Community & Social Service,2,10,0.269482,0.313718,0.000258,6
23-1011.00,Lawyers,23,Legal,2,9,0.320368,0.37939,0.003396,21
23-1012.00,Judicial Law Clerks,23,Legal,2,9,0.287254,0.329159,0.006758,10
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",23,Legal,2,8,0.337305,0.399248,0.00786,28
23-1022.00,"Arbitrators, Mediators, and Conciliators",23,Legal,2,9,0.267889,0.30007,0.000182,5
23-1023.00,"Judges, Magistrate Judges, and Magistrates",23,Legal,2,9,0.305256,0.353179,0.000321,12
23-2011.00,Paralegals and Legal Assistants,23,Legal,2,8,0.3,0.346326,0.001265,13
23-2093.00,"Title Examiners, Abstractors, and Searchers",23,Legal,2,8,0.299603,0.352213,0.003407,21
25-1011.00,"Business Teachers, Postsecondary",25,Education,6,10,0.313929,0.395727,0.006275,41
25-1021.00,"Computer Science Teachers, Postsecondary",25,Education,6,10,0.266157,0.315556,0.000001,13
25-1022.00,"Mathematical Science Teachers, Postsecondary",25,Education,6,10,0.256803,0.293833,0.0001,5
25-1031.00,"Architecture Teachers, Postsecondary",25,Education,6,10,0.314147,0.393115,0.006501,40
25-1032.00,"Engineering Teachers, Postsecondary",25,Education,6,10,0.271095,0.325705,0.001206,16
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",25,Education,6,11,0.260794,0.311695,0.000104,13
25-1042.00,"Biological Science Teachers, Postsecondary",25,Education,6,10,0.258857,0.311238,0.000732,15
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",25,Education,6,10,0.270609,0.331119,0.00037,23
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25,Education,6,10,0.267572,0.323718,0.002088,19
25-1052.00,"Chemistry Teachers, Postsecondary",25,Education,6,11,0.258267,0.309374,0.00067,11
25-1053.00,"Environmental Science Teachers, Postsecondary",25,Education,6,10,0.273056,0.333321,0.002558,20
25-1054.00,"Physics Teachers, Postsecondary",25,Education,6,11,0.218419,0.248363,0,3
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",25,Education,6,10,0.277404,0.346104,0.001444,31
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25,Education,6,10,0.275547,0.339551,0.000174,27
25-1063.00,"Economics Teachers, Postsecondary",25,Education,6,10,0.283302,0.348989,0.002259,28
25-1064.00,"Geography Teachers, Postsecondary",25,Education,6,10,0.283125,0.349909,0.001076,29
25-1065.00,"Political Science Teachers, Postsecondary",25,Education,6,10,0.269162,0.332039,0.000418,26
25-1066.00,"Psychology Teachers, Postsecondary",25,Education,6,10,0.284369,0.358163,0.003668,34
25-1067.00,"Sociology Teachers, Postsecondary",25,Education,6,10,0.293394,0.367602,0.001867,35
25-1071.00,"Health Specialties Teachers, Postsecondary",25,Education,6,10,0.269964,0.329705,0.001919,20
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",25,Education,6,10,0.325899,0.414196,0.016025,47
25-1081.00,"Education Teachers, Postsecondary",25,Education,6,10,0.295499,0.363792,0.000675,29
25-1082.00,"Library Science Teachers, Postsecondary",25,Education,6,10,0.298616,0.376853,0.001923,39
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",25,Education,6,10,0.288719,0.353033,0.000219,26
25-1112.00,"Law Teachers, Postsecondary",25,Education,6,10,0.281017,0.341485,0.000137,24
25-1113.00,"Social Work Teachers, Postsecondary",25,Education,6,10,0.29901,0.377073,0.002773,39
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",25,Education,6,10,0.273221,0.331118,0.000117,21
25-1122.00,"Communications Teachers, Postsecondary",25,Education,6,9,0.320141,0.401962,0.00639,44
25-1123.00,"English Language and Literature Teachers, Postsecondary",25,Education,6,10,0.284191,0.347078,0.000285,26
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",25,Education,6,10,0.301799,0.380716,0.002355,40
25-1125.00,"History Teachers, Postsecondary",25,Education,6,10,0.299603,0.373137,0.001305,34
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",25,Education,6,9,0.312198,0.38765,0.002426,37
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",25,Education,6,10,0.298026,0.374829,0.002958,38
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",25,Education,6,10,0.300199,0.363608,0.001959,25
25-1194.00,"Career/Technical Education Teachers, Postsecondary",25,Education,6,10,0.233025,0.263409,0,2
25-2011.00,"Preschool Teachers, Except Special Education",25,Education,6,9,0.295306,0.357039,0.001553,23
25-2012.00,"Kindergarten Teachers, Except Special Education",25,Education,6,9,0.300797,0.366679,0.002794,27
25-2021.00,"Elementary School Teachers, Except Special Education",25,Education,6,9,0.306288,0.379569,0.001189,34
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",25,Education,6,9,0.31134,0.377601,0.00248,27
25-2023.00,"Career/Technical Education Teachers, Middle School",25,Education,6,10,0.297049,0.370758,0.003318,33
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",25,Education,6,9,0.319915,0.400325,0.004672,43
25-2032.00,"Career/Technical Education Teachers, Secondary School",25,Education,6,9,0.273056,0.323525,0.000868,17
25-2051.00,"Special Education Teachers, Preschool",25,Education,6,9,0.349537,0.448633,0.030933,62
25-2056.00,"Special Education Teachers, Elementary School",25,Education,6,9,0.304231,0.374713,0.002316,32
25-2057.00,"Special Education Teachers, Middle School",25,Education,6,9,0.306081,0.375265,0.001328,29
25-2058.00,"Special Education Teachers, Secondary School",25,Education,6,9,0.321962,0.404753,0.007715,43
25-2059.01,Adapted Physical Education Specialists,25,Education,6,9,0.317895,0.39011,0.008566,33
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",25,Education,6,9,0.305462,0.373425,0.000686,28
25-3021.00,Self-Enrichment Teachers,25,Education,6,10,0.275547,0.331381,0.000487,18
25-3031.00,"Substitute Teachers, Short-Term",25,Education,6,9,0.313278,0.388733,0.010398,36
25-3041.00,Tutors,25,Education,6,9,0.302403,0.368164,0.000661,27
25-4011.00,Archivists,25,Education,2,10,0.291506,0.33265,0.000367,5
