Source,Target,Type,Id,Label,Weight
13-1031.00,43-6011.00,Undirected,60185,,0.9508
13-1041.00,13-1071.00,Undirected,60186,,0.9634
13-1041.00,13-1075.00,Undirected,60187,,0.9519
13-1041.00,13-2023.00,Undirected,60188,,0.9622
13-1041.00,21-1011.00,Undirected,60189,,0.9578
13-1041.00,21-1092.00,Undirected,60190,,0.9603
13-1041.00,21-1094.00,Undirected,60191,,0.9721
13-1041.00,27-3023.00,Undirected,60192,,0.9688
13-1041.00,33-1091.00,Undirected,60193,,0.9583
13-1041.00,33-3021.00,Undirected,60194,,0.953
13-1041.00,33-3051.00,Undirected,60195,,0.9584
13-1041.00,33-3051.04,Undirected,60196,,0.9676
13-1041.00,33-9011.00,Undirected,60197,,0.9582
13-1041.00,33-9021.00,Undirected,60198,,0.952
13-1041.00,33-9099.02,Undirected,60199,,0.9527
13-1041.00,41-9021.00,Undirected,60200,,0.9518
13-1041.00,43-4031.00,Undirected,60201,,0.9535
13-1041.00,43-4161.00,Undirected,60202,,0.956
13-1041.00,43-9041.00,Undirected,60203,,0.9615
13-1041.00,43-9061.00,Undirected,60204,,0.9632
13-1041.01,17-2112.02,Undirected,60205,,0.9624
13-1041.01,19-1012.00,Undirected,60206,,0.9573
13-1041.01,19-5012.00,Undirected,60207,,0.9639
13-1041.01,47-4011.01,Undirected,60208,,0.9517
13-1041.03,13-1041.07,Undirected,60209,,0.9609
13-1041.03,13-1075.00,Undirected,60210,,0.9533
13-1041.03,13-1111.00,Undirected,60211,,0.9537
13-1041.03,13-1141.00,Undirected,60212,,0.9506
13-1041.03,13-1161.00,Undirected,60213,,0.954
13-1041.03,13-1199.05,Undirected,60214,,0.9562
13-1041.03,13-2053.00,Undirected,60215,,0.9579
13-1041.03,13-2071.00,Undirected,60216,,0.9615
13-1041.03,19-3033.00,Undirected,60217,,0.9703
