Source,Target,Weight
11-9199.08,21-1094.00,0.9601
11-9199.08,27-2022.00,0.9514
11-9199.08,33-1012.00,0.9562
11-9199.08,33-9099.02,0.9573
11-9199.08,39-1022.00,0.9615
11-9199.08,43-1011.00,0.9599
11-9199.08,53-1042.01,0.9522
11-9199.10,13-1021.00,0.9739
11-9199.10,15-1299.09,0.9562
11-9199.10,25-4012.00,0.9604
11-9199.10,27-2012.00,0.9606
11-9199.10,41-1012.00,0.9594
11-9199.11,17-1011.00,0.9551
11-9199.11,17-2081.00,0.9655
11-9199.11,19-2041.02,0.9577
13-1011.00,13-1075.00,0.9734
13-1011.00,23-1011.00,0.9677
13-1011.00,23-1022.00,0.9602
13-1011.00,27-2012.04,0.9568
13-1011.00,27-3031.00,0.9621
13-1011.00,29-2099.08,0.9509
13-1011.00,41-4012.00,0.9589
13-1021.00,13-1022.00,0.9538
13-1022.00,13-1023.00,0.9571
13-1031.00,13-1041.00,0.9518
13-1031.00,13-1199.05,0.9507
13-1031.00,13-2011.00,0.9725
13-1031.00,13-2022.00,0.969
13-1031.00,13-2023.00,0.961
13-1031.00,13-2081.00,0.9556
13-1031.00,41-9021.00,0.9523
13-1031.00,43-4131.00,0.9542
13-1031.00,43-6011.00,0.9508
13-1041.00,13-1071.00,0.9634
13-1041.00,13-1075.00,0.9519
13-1041.00,13-2023.00,0.9622
13-1041.00,21-1011.00,0.9578
13-1041.00,21-1092.00,0.9603
13-1041.00,21-1094.00,0.9721
13-1041.00,27-3023.00,0.9688
13-1041.00,33-1091.00,0.9583
13-1041.00,33-3021.00,0.953
13-1041.00,33-3051.00,0.9584
13-1041.00,33-3051.04,0.9676
13-1041.00,33-9011.00,0.9582
13-1041.00,33-9021.00,0.952
13-1041.00,33-9099.02,0.9527
13-1041.00,41-9021.00,0.9518
13-1041.00,43-4031.00,0.9535
13-1041.00,43-4161.00,0.956
13-1041.00,43-9041.00,0.9615
13-1041.00,43-9061.00,0.9632
13-1041.01,17-2112.02,0.9624
13-1041.01,19-1012.00,0.9573
13-1041.01,19-5012.00,0.9639
13-1041.01,47-4011.01,0.9517
13-1041.03,13-1041.07,0.9609
13-1041.03,13-1075.00,0.9533
13-1041.03,13-1111.00,0.9537
13-1041.03,13-1141.00,0.9506
13-1041.03,13-1161.00,0.954
13-1041.03,13-1199.05,0.9562
13-1041.03,13-2053.00,0.9579
13-1041.03,13-2071.00,0.9615
13-1041.03,19-3033.00,0.9703
13-1041.03,19-3034.00,0.9778
13-1041.03,19-3039.03,0.9608
13-1041.03,19-3094.00,0.9569
13-1041.03,21-1011.00,0.9623
13-1041.03,21-1012.00,0.9606
13-1041.03,21-1013.00,0.9547
13-1041.03,21-1014.00,0.958
13-1041.03,21-1092.00,0.9504
13-1041.03,23-1011.00,0.9568
13-1041.03,23-1012.00,0.9553
13-1041.03,23-1021.00,0.975
13-1041.03,23-1023.00,0.9627
13-1041.03,23-2011.00,0.9506
13-1041.03,25-2051.00,0.9646
13-1041.03,27-3031.00,0.9533
13-1041.03,29-1129.01,0.9618
13-1041.03,31-9099.01,0.9542
13-1041.03,33-3021.06,0.9748
13-1041.03,33-9021.00,0.9644
13-1041.03,43-4131.00,0.9572
13-1041.03,43-4161.00,0.9578
13-1041.04,13-2023.00,0.9539
13-1041.04,17-2111.00,0.9678
13-1041.04,19-5012.00,0.9659
13-1041.04,33-2021.00,0.9597
13-1041.04,33-9099.02,0.9564
13-1041.04,47-4011.00,0.9558
13-1041.04,53-6051.00,0.9559
13-1041.06,29-1141.00,0.9521
13-1041.06,29-1141.01,0.9523
13-1041.06,29-1161.00,0.9555
13-1041.06,29-1214.00,0.955
13-1041.06,29-1218.00,0.9575
13-1041.06,29-1229.04,0.9565
13-1041.06,29-1241.00,0.9612
13-1041.06,29-1299.01,0.9503
13-1041.06,31-9092.00,0.9578
13-1041.07,13-1081.00,0.9568
13-1041.07,13-1081.02,0.9598
13-1041.07,13-1111.00,0.9738
13-1041.07,13-1141.00,0.9621
13-1041.07,13-1161.00,0.9653
13-1041.07,13-1161.01,0.9548
13-1041.07,13-1199.04,0.9691
13-1041.07,13-1199.05,0.9698
13-1041.07,13-2053.00,0.959
13-1041.07,13-2061.00,0.9573
13-1041.07,15-1299.03,0.9612
13-1041.07,19-2041.01,0.953
13-1041.07,19-3051.00,0.9716
13-1041.07,19-3099.01,0.9523
13-1041.07,23-1011.00,0.9552
13-1041.07,23-1021.00,0.9519
13-1041.07,25-4011.00,0.9562
13-1041.07,25-4012.00,0.9586
13-1041.07,27-1011.00,0.9526
13-1041.07,27-1024.00,0.9512
13-1041.07,27-3031.00,0.953
13-1041.08,13-1071.00,0.9571
